"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0"
"Ys0...73",-1.5,1.5,0.2,-1.5,0.0584915,-0.2478341,-0.0756353000000001,0.3338098,0.0584915,-0.3030642,-0.0713866,0.3338098,0.0509814,0.0697712,-0.3030642,-0.0713866,0.2505634,0.1229664,0.0585385,-0.2433553,-0.0799293,0.3336935,-0.000115500000000046
"Ys0...74",-1.5,1.5,0.2,-1,0.0802638999999999,-0.0584533,-0.184491,0.2511157,0.0802638999999999,-0.1932615,-0.1735571,0.2511157,0.1238743,0.00592869999999995,-0.1932615,-0.1735571,0.1737565,0.2755548,0.0802861,-0.0449174999999999,-0.1979725,0.2511889,-0.00014970000000003
"Ys0...75",-1.5,1.5,0.2,1,0.0735287,0.3692344,-0.4778239,0.0293175,0.0735287,0.1019818,-0.4065198,0.0293175,0.1959485,-0.1432543,0.1019818,-0.4065198,-0.0224419,0.4641224,0.0733224,0.388774,-0.497063,0.0295137999999999,-0.000290499999999971
"Ys0...76",-1.5,1.5,0.2,1.5,0.0660702,0.4049788,-0.5066593,0.0194118,0.0660702,0.1326368,-0.4248107,0.0194118,0.1904934,-0.1550198,0.1326368,-0.4248107,-0.0211112,0.4516983,0.066147,0.4232531,-0.5249916,0.0194295,-3.64999999999949e-05
"Ys0...77",-1.5,1.5,0.75,-1.5,0.0583490999999999,-0.26101,-0.0623258,0.3335913,0.0583490999999999,-0.3032345,-0.0713527,0.3335913,0.0512514000000002,0.0699004,-0.3032345,-0.0713527,0.2505492,0.1227174,0.0585011,-0.2434345,-0.0797677999999999,0.3334846,-0.000178800000000034
"Ys0...78",-1.5,1.5,0.75,-1,0.0799384999999999,-0.0979857,-0.1448123,0.2512971,0.0799384999999999,-0.1934162,-0.1733817,0.2512971,0.1239999,0.00580209999999998,-0.1934162,-0.1733817,0.1736187,0.2757341,0.0801848000000001,-0.0452539000000001,-0.1975574,0.2514202,-0.000356100000000081
"Ys0...79",-1.5,1.5,0.75,1,0.0735337,0.326875,-0.4356897,0.0294508999999999,0.0735337,0.1019214,-0.4063765,0.0294508999999999,0.1956404,-0.1432675,0.1019214,-0.4063765,-0.022532,0.4641976,0.0733781,0.3886902,-0.4970587,0.0296878,-0.000527500000000125
"Ys0...80",-1.5,1.5,0.75,1.5,0.0661676,0.3685717,-0.4703282,0.0193149,0.0661676,0.1325662,-0.4246058,0.0193149,0.1902831,-0.1549797,0.1325662,-0.4246058,-0.0212225,0.4515497,0.0657844000000001,0.4234006,-0.5249059,0.0194372,9.69999999989035e-06
"Ys0...81",-0.5,-1.5,-0.75,-1.5,0.0591882,-0.1167828,0.0826595999999999,-0.0697171999999999,0.0591882,-0.0247193999999999,-0.0120506,-0.0697171999999999,0.00264679999999995,0.0500252,-0.0247193999999999,-0.0120506,0.1438432,-0.2017776,0.0592396000000001,-0.0793238000000001,0.0447362,-0.0694448,0.000140600000000046
"Ys0...82",-0.5,-1.5,-0.75,-1,0.0782894,-0.1972312,0.1549634,-0.1242607,0.0782894,-0.0295572000000001,-0.0206164000000001,-0.1242607,0.00790580000000018,0.0484445,-0.0295572000000001,-0.0206164000000001,0.0962968000000001,-0.1825926,0.0783458,-0.1280616,0.0850499,-0.1239407,0.000367499999999965
